da449	train
dabc0	train
db538	train
dc1f3	train
dc245	train
dc5ef	train
dca20	dev
dd43a	train
dd6f8	train
ddb8f	train
df38e	train
df981	train
dff99	train
e0b70	train
e1e01	train
e3235	train
e35a8	train
e3ad7	train
e42fe	train
e47dc	train
e5259	train
e5fb8	train
e61f1	train
e6e7b	train
e8724	train
e8ec1	train
e9148	train
e9dcb	train
ea3c6	train
eae99	train
ec9a8	train
ed0c5	test
ed3e5	train
ed4c3	train
ee066	train
ee3d2	test
ee9b8	train
effa6	train
f0098	test
f0169	train
f0a29	train
f0b2e	train
f12ba	train
f200a	train
f2348	train
f2931	train
f2ef0	train
f3204	train
f32c3	train
f3aed	test
f3efc	train
f3f41	train
f40d9	train
f4f83	train
f5954	train
f71ec	train
f7f4f	train
f8790	train
f89d9	test
f9391	train
f9563	train
fa2d3	train
fb100	train
fc710	train
fc853	train
fd786	train
fd8a1	test
fda64	train
fe011	train
fe361	train
fea0e	test
fefdf	train
ff39f	train
ff3fa	train
ffa9f	train
